source,target,relationship_type
C0001,D0010,USES_DEVICE
C0001,D0011,USES_DEVICE
C0001,D0012,USES_DEVICE
C0001,I0000,USES_IP
C0001,P0010,HAS_PAYMENT_INSTRUMENT
C0001,P0011,HAS_PAYMENT_INSTRUMENT
C0002,D0020,USES_DEVICE
C0002,I0020,USES_IP
C0002,P0020,HAS_PAYMENT_INSTRUMENT
C0003,D0030,USES_DEVICE
C0003,D0031,USES_DEVICE
C0003,D0032,USES_DEVICE
C0003,I0030,USES_IP
C0003,I0000,USES_IP
C0003,I0032,USES_IP
C0003,P0030,HAS_PAYMENT_INSTRUMENT
C0004,D0040,USES_DEVICE
C0004,I0040,USES_IP
C0004,P0040,HAS_PAYMENT_INSTRUMENT
C0005,D0050,USES_DEVICE
C0005,D0051,USES_DEVICE
C0005,D0052,USES_DEVICE
C0005,I0050,USES_IP
C0005,P0050,HAS_PAYMENT_INSTRUMENT
C0005,P0051,HAS_PAYMENT_INSTRUMENT
C0006,D0060,USES_DEVICE
C0006,I0060,USES_IP
C0006,I0061,USES_IP
C0006,P0060,HAS_PAYMENT_INSTRUMENT
C0007,D0070,USES_DEVICE
C0007,I0070,USES_IP
C0007,I0071,USES_IP
C0007,I0072,USES_IP
C0007,P0070,HAS_PAYMENT_INSTRUMENT
C0007,P0071,HAS_PAYMENT_INSTRUMENT
C0008,D0080,USES_DEVICE
C0008,I0080,USES_IP
C0008,P0080,HAS_PAYMENT_INSTRUMENT
C0008,P0081,HAS_PAYMENT_INSTRUMENT
C0009,D0090,USES_DEVICE
C0009,D0091,USES_DEVICE
C0009,I0090,USES_IP
C0009,I0001,USES_IP
C0009,I0092,USES_IP
C0009,P0090,HAS_PAYMENT_INSTRUMENT
C0010,D0100,USES_DEVICE
C0010,D0101,USES_DEVICE
C0010,I0100,USES_IP
C0010,P0100,HAS_PAYMENT_INSTRUMENT
C0010,P0101,HAS_PAYMENT_INSTRUMENT
C0011,D0110,USES_DEVICE
C0011,D0111,USES_DEVICE
C0011,D0112,USES_DEVICE
C0011,I0110,USES_IP
C0011,P0110,HAS_PAYMENT_INSTRUMENT
C0012,D0120,USES_DEVICE
C0012,D0121,USES_DEVICE
C0012,D0122,USES_DEVICE
C0012,I0120,USES_IP
C0012,P0120,HAS_PAYMENT_INSTRUMENT
C0013,D0130,USES_DEVICE
C0013,I0130,USES_IP
C0013,P0130,HAS_PAYMENT_INSTRUMENT
C0013,P0131,HAS_PAYMENT_INSTRUMENT
C0014,D0140,USES_DEVICE
C0014,D0141,USES_DEVICE
C0014,D0142,USES_DEVICE
C0014,I0140,USES_IP
C0014,I0141,USES_IP
C0014,P0140,HAS_PAYMENT_INSTRUMENT
C0014,P0141,HAS_PAYMENT_INSTRUMENT
C0015,D0150,USES_DEVICE
C0015,D0151,USES_DEVICE
C0015,D0152,USES_DEVICE
C0015,I0150,USES_IP
C0015,I0151,USES_IP
C0015,I0152,USES_IP
C0015,P0150,HAS_PAYMENT_INSTRUMENT
C0016,D0160,USES_DEVICE
C0016,I0160,USES_IP
C0016,I0161,USES_IP
C0016,P0160,HAS_PAYMENT_INSTRUMENT
C0017,D0170,USES_DEVICE
C0017,D0171,USES_DEVICE
C0017,D0172,USES_DEVICE
C0017,I0170,USES_IP
C0017,I0171,USES_IP
C0017,P0170,HAS_PAYMENT_INSTRUMENT
C0018,D0180,USES_DEVICE
C0018,I0180,USES_IP
C0018,I0003,USES_IP
C0018,P0180,HAS_PAYMENT_INSTRUMENT
C0018,P0181,HAS_PAYMENT_INSTRUMENT
C0019,D0190,USES_DEVICE
C0019,I0190,USES_IP
C0019,I0191,USES_IP
C0019,I0192,USES_IP
C0019,P0190,HAS_PAYMENT_INSTRUMENT
C0020,D0200,USES_DEVICE
C0020,D0201,USES_DEVICE
C0020,I0200,USES_IP
C0020,P0200,HAS_PAYMENT_INSTRUMENT
C0020,P0201,HAS_PAYMENT_INSTRUMENT
C0021,D0210,USES_DEVICE
C0021,D0211,USES_DEVICE
C0021,D0212,USES_DEVICE
C0021,I0210,USES_IP
C0021,I0211,USES_IP
C0021,I0212,USES_IP
C0021,P0210,HAS_PAYMENT_INSTRUMENT
C0022,D0220,USES_DEVICE
C0022,D0221,USES_DEVICE
C0022,D0222,USES_DEVICE
C0022,I0004,USES_IP
C0022,I0004,USES_IP
C0022,P0220,HAS_PAYMENT_INSTRUMENT
C0023,D0230,USES_DEVICE
C0023,I0230,USES_IP
C0023,I0231,USES_IP
C0023,I0232,USES_IP
C0023,P0230,HAS_PAYMENT_INSTRUMENT
